source_file,formulation_group,formulation_label,drug_label,replicate_file_id,measurement_id,AUC_0_4h,AUC_0_8h,relative_early_release,baseline_added,interpolation_used_4h,interpolation_used_8h,excluded_reason
0524-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0524-紫外-亚甲蓝-Gemini,meas1,1.6735,3.0515,0.5484188104211044,True,False,False,
0524-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0524-紫外-亚甲蓝-Gemini,meas2,1.2672499999999998,2.6482499999999995,0.4785235532899084,True,False,False,
0524-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0524-紫外-亚甲蓝-Gemini,meas3,1.26675,2.63875,0.4800568450971104,True,False,False,
0525-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0525-紫外-亚甲蓝-Gemini,meas1,1.1455,2.2095,0.5184430866711927,True,False,False,
0525-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0525-紫外-亚甲蓝-Gemini,meas2,1.1404999999999998,2.1955,0.5194716465497609,True,False,False,
0525-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0525-紫外-亚甲蓝-Gemini,meas3,1.1364999999999998,2.1914999999999996,0.5185945699292722,True,False,False,
0525-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0525-紫外-亚甲蓝-Qwen,meas1,1.0475,2.1065,0.49727035366722055,True,False,False,
0525-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0525-紫外-亚甲蓝-Qwen,meas2,1.0550000000000002,2.121,0.4974068835454975,True,False,False,
0525-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0525-紫外-亚甲蓝-Qwen,meas3,1.054,2.1180000000000003,0.49763928234183186,True,False,False,
0526-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0526-紫外-亚甲蓝-Qwen,meas1,1.2374999999999998,3.0875,0.40080971659919024,True,False,False,
0526-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0526-紫外-亚甲蓝-Qwen,meas2,1.2345,3.0845,0.40022694115739993,True,False,False,
0526-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0526-紫外-亚甲蓝-Qwen,meas3,1.22425,3.07625,0.39796830556684276,True,False,False,
