source_file,formulation_group,formulation_label,drug_label,replicate_file_id,time_h,uv_signal,relative_uv_signal_per_h,AUC_0_8h_denominator,integral_0_8h
0523-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0523-紫外-亚甲蓝-GPTS,6.0,0.32233333333333336,0.1418148487626031,2.2729166666666667,1.0
0523-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0523-紫外-亚甲蓝-GPTS,8.0,0.02666666666666667,0.011732355637030248,2.2729166666666667,1.0
0524-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0524-紫外-亚甲蓝-GPTS,0.0,0.0,0.0,2.5525833333333328,1.0000000000000002
0524-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0524-紫外-亚甲蓝-GPTS,0.5,0.2383333333333333,0.09336946230942511,2.5525833333333328,1.0000000000000002
0524-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0524-紫外-亚甲蓝-GPTS,1.0,0.19966666666666666,0.0782214096830009,2.5525833333333328,1.0000000000000002
0524-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0524-紫外-亚甲蓝-GPTS,2.0,0.3133333333333333,0.12275146093826517,2.5525833333333328,1.0000000000000002
0524-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0524-紫外-亚甲蓝-GPTS,4.0,0.5823333333333333,0.22813489602037154,2.5525833333333328,1.0000000000000002
0524-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0524-紫外-亚甲蓝-GPTS,6.0,0.317,0.12418791420456403,2.5525833333333328,1.0000000000000002
0524-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0524-紫外-亚甲蓝-GPTS,8.0,0.015,0.005876399725768014,2.5525833333333328,1.0000000000000002
0524-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0524-紫外-亚甲蓝-Gemini,0.0,0.0,0.0,2.7795,0.9999999999999999
0524-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0524-紫外-亚甲蓝-Gemini,0.5,0.20166666666666666,0.07255501589014811,2.7795,0.9999999999999999
0524-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0524-紫外-亚甲蓝-Gemini,1.0,0.3453333333333333,0.12424296935899741,2.7795,0.9999999999999999
0524-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0524-紫外-亚甲蓝-Gemini,2.0,0.3,0.10793308148947652,2.7795,0.9999999999999999
0524-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0524-紫外-亚甲蓝-Gemini,4.0,0.5926666666666667,0.21322779876476583,2.7795,0.9999999999999999
0524-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0524-紫外-亚甲蓝-Gemini,6.0,0.37266666666666665,0.13407687233914972,2.7795,0.9999999999999999
0524-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,0524-紫外-亚甲蓝-Gemini,8.0,0.039,0.014031300593631947,2.7795,0.9999999999999999
