source_file,formulation_group,formulation_label,drug_label,replicate_file_id,time_h,interval_mean_signal,duration_h,n_technical_measurements,interval_start_h,interval_end_h,interval_auc,AUC_0_8h_denominator,interval_auc_fraction,sum_interval_auc_fraction_0_8h,y_variable,normalization_formula,auc_method
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,6.0,0.2866666666666666,2.0,3,4.0,6.0,0.5733333333333333,1.8803333333333332,0.3049104768658039,1.0000000000000002,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,8.0,0.03933333333333333,2.0,3,6.0,8.0,0.07866666666666666,1.8803333333333332,0.04183655380251729,1.0000000000000002,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0520-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0520-紫外-亚甲蓝-标准粘度,0.5,0.005666666666666667,0.5,3,0.0,0.5,0.0028333333333333335,1.5908333333333335,0.0017810371922472497,0.9999999999999999,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0520-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0520-紫外-亚甲蓝-标准粘度,1.0,0.03266666666666667,0.5,3,0.5,1.0,0.016333333333333335,1.5908333333333335,0.010267155578837088,0.9999999999999999,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0520-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0520-紫外-亚甲蓝-标准粘度,2.0,0.151,1.0,3,1.0,2.0,0.151,1.5908333333333335,0.09491880565741224,0.9999999999999999,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0520-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0520-紫外-亚甲蓝-标准粘度,4.0,0.4386666666666667,2.0,3,2.0,4.0,0.8773333333333334,1.5908333333333335,0.5514929282346778,0.9999999999999999,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0520-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0520-紫外-亚甲蓝-标准粘度,6.0,0.25633333333333336,2.0,3,4.0,6.0,0.5126666666666667,1.5908333333333335,0.3222629649030906,0.9999999999999999,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0520-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0520-紫外-亚甲蓝-标准粘度,8.0,0.015333333333333332,2.0,3,6.0,8.0,0.030666666666666665,1.5908333333333335,0.019277108433734935,0.9999999999999999,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0523-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0523-紫外-亚甲蓝-GPTS,0.5,0.12033333333333333,0.5,3,0.0,0.5,0.06016666666666667,2.1466666666666665,0.02802795031055901,1.0000000000000002,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
0523-紫外-亚甲蓝-GPTS.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,0523-紫外-亚甲蓝-GPTS,1.0,0.129,0.5,3,0.5,1.0,0.0645,2.1466666666666665,0.03004658385093168,1.0000000000000002,absorbance,interval_auc_fraction = interval_mean_absorbance * interval_duration_h / sum(interval_mean_absorbance * interval_duration_h from 0 to 8 h),interval-average absorbance times duration; no trapezoidal interpolation
