source_file,formulation_group,formulation_label,drug_label,replicate_file_id,time_h,uv_signal,n_technical_measurements,y_variable,baseline_added_for_plot
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,4.0,0.6046666666666667,3,absorbance,False
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,6.0,0.35666666666666663,3,absorbance,False
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,8.0,0.034,3,absorbance,False
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,12.0,0.017666666666666667,3,absorbance,False
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,16.0,0.007333333333333333,3,absorbance,False
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,20.0,0.004666666666666667,3,absorbance,False
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,24.0,0.002,3,absorbance,False
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,0.0,0.0,3,absorbance,True
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,0.5,0.07033333333333334,3,absorbance,False
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,1.0,0.07566666666666666,3,absorbance,False
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,2.0,0.16066666666666665,3,absorbance,False
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,4.0,0.49733333333333335,3,absorbance,False
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,6.0,0.2866666666666666,3,absorbance,False
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,8.0,0.03933333333333333,3,absorbance,False
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,12.0,0.012666666666666666,3,absorbance,False
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,16.0,0.005666666666666667,3,absorbance,False
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,20.0,0.0006666666666666666,3,absorbance,False
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,24.0,0.006999999999999999,3,absorbance,False
0525-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0525-紫外-亚甲蓝-Qwen,0.0,0.0,3,absorbance,True
0525-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0525-紫外-亚甲蓝-Qwen,0.5,0.235,3,absorbance,False
0525-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0525-紫外-亚甲蓝-Qwen,1.0,0.17200000000000001,3,absorbance,False
0525-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0525-紫外-亚甲蓝-Qwen,2.0,0.228,3,absorbance,False
0525-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0525-紫外-亚甲蓝-Qwen,4.0,0.46366666666666667,3,absorbance,False
0525-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0525-紫外-亚甲蓝-Qwen,6.0,0.2813333333333333,3,absorbance,False
0525-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0525-紫外-亚甲蓝-Qwen,8.0,0.03666666666666667,3,absorbance,False
0526-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0526-紫外-亚甲蓝-Qwen,0.0,0.0,3,absorbance,True
0526-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0526-紫外-亚甲蓝-Qwen,0.5,0.11066666666666668,3,absorbance,False
0526-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0526-紫外-亚甲蓝-Qwen,1.0,0.12833333333333333,3,absorbance,False
0526-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0526-紫外-亚甲蓝-Qwen,2.0,0.20766666666666667,3,absorbance,False
0526-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0526-紫外-亚甲蓝-Qwen,4.0,0.769,3,absorbance,False
0526-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0526-紫外-亚甲蓝-Qwen,6.0,0.5023333333333334,3,absorbance,False
0526-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0526-紫外-亚甲蓝-Qwen,8.0,0.077,3,absorbance,False
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,0.0,0.0,3,absorbance,True
0417-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0417-紫外-亚甲蓝-标准粘度,0.5,0.005333333333333333,3,absorbance,False
