source_file,formulation_group,formulation_label,drug_label,replicate_file_id,measurement_id,sample_index,time_h,duration_h,absorbance,include_for_fig5b,manual_mapping_used,parsing_status
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas3,1,0.5,0.5,0.031,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas3,2,1.0,0.5,0.053,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas3,3,2.0,1.0,0.169,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas3,4,4.0,2.0,0.515,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas3,5,6.0,2.0,0.553,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas3,6,8.0,2.0,0.08,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas3,7,12.0,4.0,0.015,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas3,8,16.0,4.0,0.023,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas3,9,20.0,4.0,-0.003,yes,False,auto_parsed
0421-紫外-亚甲蓝-标准粘度.xlsx,Standard,Standard viscosity,methylene_blue,0421-紫外-亚甲蓝-标准粘度,meas3,10,24.0,4.0,-0.005,yes,False,auto_parsed
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas1,1,0.5,0.5,0.001,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas1,2,1.0,0.5,0.018,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas1,3,2.0,1.0,0.168,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas1,4,4.0,2.0,0.646,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas1,5,6.0,2.0,0.392,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas1,6,8.0,2.0,0.03,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas1,7,12.0,4.0,0.016,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas1,8,16.0,4.0,0.0,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas1,9,20.0,4.0,0.009,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas1,10,24.0,4.0,0.0,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas2,1,0.5,0.5,0.004,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas2,2,1.0,0.5,0.017,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas2,3,2.0,1.0,0.17,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas2,4,4.0,2.0,0.649,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas2,5,6.0,2.0,0.387,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas2,6,8.0,2.0,0.027,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas2,7,12.0,4.0,0.017,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas2,8,16.0,4.0,0.001,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas2,9,20.0,4.0,0.01,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas2,10,24.0,4.0,0.004,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas3,1,0.5,0.5,0.001,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas3,2,1.0,0.5,0.018,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas3,3,2.0,1.0,0.168,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas3,4,4.0,2.0,0.644,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas3,5,6.0,2.0,0.393,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas3,6,8.0,2.0,0.03,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas3,7,12.0,4.0,0.021,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas3,8,16.0,4.0,0.003,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas3,9,20.0,4.0,0.002,yes,True,manual_mapping
0426-紫外-亚甲蓝-GPTs.xlsx,GPT-5-mini,GPT-5-mini optimized,methylene_blue,gpt5mini_excel_1,meas3,10,24.0,4.0,0.007,yes,True,manual_mapping
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas1,1,0.5,0.5,0.059,yes,True,manual_mapping
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas1,2,1.0,0.5,0.078,yes,True,manual_mapping
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas1,3,2.0,1.0,0.238,yes,True,manual_mapping
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas1,4,4.0,2.0,0.606,yes,True,manual_mapping
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas1,5,6.0,2.0,0.355,yes,True,manual_mapping
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas1,6,8.0,2.0,0.035,yes,True,manual_mapping
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas1,7,12.0,4.0,0.016,yes,True,manual_mapping
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas1,8,16.0,4.0,0.007,yes,True,manual_mapping
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas1,9,20.0,4.0,0.004,yes,True,manual_mapping
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas1,10,24.0,4.0,0.001,yes,True,manual_mapping
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas2,1,0.5,0.5,0.056,yes,True,manual_mapping
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas2,2,1.0,0.5,0.078,yes,True,manual_mapping
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas2,3,2.0,1.0,0.237,yes,True,manual_mapping
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas2,4,4.0,2.0,0.606,yes,True,manual_mapping
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas2,5,6.0,2.0,0.359,yes,True,manual_mapping
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas2,6,8.0,2.0,0.034,yes,True,manual_mapping
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas2,7,12.0,4.0,0.016,yes,True,manual_mapping
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas2,8,16.0,4.0,0.007,yes,True,manual_mapping
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas2,9,20.0,4.0,0.004,yes,True,manual_mapping
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas2,10,24.0,4.0,0.001,yes,True,manual_mapping
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas3,1,0.5,0.5,0.058,yes,True,manual_mapping
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas3,2,1.0,0.5,0.079,yes,True,manual_mapping
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas3,3,2.0,1.0,0.237,yes,True,manual_mapping
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas3,4,4.0,2.0,0.602,yes,True,manual_mapping
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas3,5,6.0,2.0,0.356,yes,True,manual_mapping
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas3,6,8.0,2.0,0.033,yes,True,manual_mapping
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas3,7,12.0,4.0,0.021,yes,True,manual_mapping
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas3,8,16.0,4.0,0.008,yes,True,manual_mapping
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas3,9,20.0,4.0,0.006,yes,True,manual_mapping
0427-紫外-亚甲蓝-Gemini.xlsx,Gemini 2.5 Flash,Gemini 2.5 Flash optimized,methylene_blue,gemini25flash_excel_1,meas3,10,24.0,4.0,0.004,yes,True,manual_mapping
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,meas1,1,0.5,0.5,0.07,yes,False,auto_parsed
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,meas1,2,1.0,0.5,0.077,yes,False,auto_parsed
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,meas1,3,2.0,1.0,0.159,yes,False,auto_parsed
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,meas1,4,4.0,2.0,0.497,yes,False,auto_parsed
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,meas1,5,6.0,2.0,0.286,yes,False,auto_parsed
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,meas1,6,8.0,2.0,0.038,yes,False,auto_parsed
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,meas1,7,12.0,4.0,0.013,yes,False,auto_parsed
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,meas1,8,16.0,4.0,0.006,yes,False,auto_parsed
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,meas1,9,20.0,4.0,0.001,yes,False,auto_parsed
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,meas1,10,24.0,4.0,0.007,yes,False,auto_parsed
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,meas2,1,0.5,0.5,0.071,yes,False,auto_parsed
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,meas2,2,1.0,0.5,0.074,yes,False,auto_parsed
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,meas2,3,2.0,1.0,0.16,yes,False,auto_parsed
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,meas2,4,4.0,2.0,0.498,yes,False,auto_parsed
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,meas2,5,6.0,2.0,0.287,yes,False,auto_parsed
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,meas2,6,8.0,2.0,0.039,yes,False,auto_parsed
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,meas2,7,12.0,4.0,0.01,yes,False,auto_parsed
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,meas2,8,16.0,4.0,0.003,yes,False,auto_parsed
0428-紫外-亚甲蓝-Qwen.xlsx,Qwen3.6-plus,Qwen3.6-plus optimized,methylene_blue,0428-紫外-亚甲蓝-Qwen,meas2,9,20.0,4.0,-0.001,yes,False,auto_parsed
